"winner","avg_rating","rating_category","white_bishop_rem","white_knight_rem","white_pawn_rem","white_queen_rem","white_rook_rem","black_bishop_rem","black_knight_rem","black_pawn_rem","black_queen_rem","black_rook_rem"
"black",1275.5,"ClassD","0","1","5","0","0","0","0","3","0","0"
"white",1313.5,"ClassD","0","1","6","1","1","1","0","6","1","2"
"white",1327.5,"ClassD","1","2","5","1","2","2","2","6","1","2"
"white",1147,"Novice","0","0","3","0","0","0","1","5","1","0"
"black",1219.5,"ClassD","2","2","6","1","2","2","1","4","1","1"
"black",1213.5,"ClassD","0","2","4","0","1","2","1","3","0","1"
"black",1179.5,"Novice","0","0","6","1","1","0","1","4","0","1"
"white",1172.5,"Novice","2","2","5","0","2","1","1","8","1","2"
"black",1165,"Novice","2","2","6","1","1","2","2","7","1","2"
"white",1492.5,"ClassC","0","0","2","0","0","1","1","4","0","0"
"black",1478,"ClassC","0","1","5","0","1","1","0","5","0","1"
"black",1297.5,"ClassD","1","0","5","1","2","0","1","5","1","1"
"black",1476.5,"ClassC","2","1","7","1","2","1","1","6","1","1"
"draw",1535,"ClassC","0","0","4","1","2","1","0","5","1","0"
"white",1244.5,"ClassD","0","2","3","0","0","2","1","5","0","2"
"black",1219,"ClassD","2","1","6","1","2","0","2","7","1","1"
"white",1174.5,"Novice","2","2","5","1","2","2","2","7","1","2"
"white",1033,"Novice","1","0","6","1","2","2","1","3","1","2"
"white",1216,"ClassD","1","0","2","0","0","1","2","4","1","2"
"white",1258.5,"ClassD","0","0","0","0","0","0","0","4","0","0"
"black",1274,"ClassD","0","0","4","0","2","0","0","4","0","2"
"black",1298.5,"ClassD","0","1","6","1","2","0","0","5","1","2"
"white",1262,"ClassD","0","1","3","0","0","0","0","4","0","1"
"draw",1223,"ClassD","0","0","0","0","0","0","1","0","0","0"
"white",1373.5,"ClassD","1","1","7","1","1","0","0","6","1","2"
"white",1309,"ClassD","0","0","1","0","1","0","0","3","1","0"
"black",1277.5,"ClassD","0","0","1","1","0","1","0","2","0","1"
"black",1317.5,"ClassD","0","1","2","0","1","1","0","4","0","1"
"black",1240,"ClassD","1","0","4","0","1","0","0","2","0","0"
"white",1240,"ClassD","0","1","4","1","0","1","0","5","1","0"
"black",1240,"ClassD","0","1","4","1","2","0","0","3","0","1"
"white",1287.5,"ClassD","1","1","4","0","2","2","0","7","0","2"
"black",1252.5,"ClassD","0","0","3","0","2","1","0","3","0","1"
"white",1252.5,"ClassD","1","1","6","1","2","1","1","7","1","2"
"white",1252.5,"ClassD","2","1","6","0","2","1","2","7","1","2"
"black",1259,"ClassD","0","1","4","0","1","0","0","4","0","1"
"white",1532,"ClassC","0","0","3","0","2","0","0","5","0","2"
"white",1534.5,"ClassC","0","0","3","0","1","0","0","3","0","2"
"black",1378.5,"ClassD","1","1","7","1","2","1","0","6","1","2"
"white",1552,"ClassC","0","0","6","1","2","0","1","5","1","2"
"white",1562,"ClassC","0","1","5","1","2","0","1","5","1","2"
"draw",1313.5,"ClassD","1","1","6","0","2","2","0","6","1","0"
"black",1313.5,"ClassD","2","1","7","0","2","1","1","6","1","2"
"black",1258.5,"ClassD","1","1","5","1","1","1","2","4","0","1"
"black",1307,"ClassD","0","0","1","0","1","0","0","1","0","1"
"black",1323,"ClassD","1","0","1","0","0","0","0","0","0","0"
"white",1313,"ClassD","2","0","8","1","2","1","2","8","1","2"
"white",1314.5,"ClassD","1","2","7","1","2","1","2","8","1","2"
"draw",1357,"ClassD","0","0","4","1","0","0","0","4","1","0"
"black",1357.5,"ClassD","1","0","5","1","0","0","0","4","0","2"
"black",1327.5,"ClassD","1","1","7","1","2","2","0","4","1","2"
"black",1315,"ClassD","1","1","6","0","2","1","0","5","0","0"
"black",1261,"ClassD","0","0","6","0","2","1","1","6","0","0"
"white",1261.5,"ClassD","1","2","8","1","2","2","1","8","1","2"
"white",1341.5,"ClassD","0","0","5","0","0","1","0","6","0","1"
"white",1364,"ClassD","2","2","6","1","2","2","2","7","1","2"
"white",1334,"ClassD","0","0","1","0","0","0","0","4","1","0"
"black",1219,"ClassD","0","0","4","1","0","0","0","2","1","0"
"white",1219,"ClassD","1","1","2","1","1","2","1","5","1","1"
"black",1344,"ClassD","0","1","7","1","1","1","0","7","1","0"
"white",1344,"ClassD","0","0","5","1","2","0","0","7","1","2"
"black",1352,"ClassD","0","0","2","0","0","0","0","0","0","0"
"white",1370.5,"ClassD","1","0","6","1","2","1","0","6","1","0"
"black",1341,"ClassD","0","0","2","0","2","1","0","5","0","1"
"white",1332,"ClassD","2","1","6","1","2","2","1","7","1","2"
"white",1328.5,"ClassD","2","1","4","0","1","0","2","7","0","1"
"black",1308.5,"ClassD","0","0","3","0","1","0","0","1","0","0"
"black",1318.5,"ClassD","0","0","3","0","0","0","0","1","0","0"
"black",1301,"ClassD","2","0","7","0","1","1","0","7","0","1"
"white",1301,"ClassD","0","0","1","0","0","1","0","3","0","0"
"white",1488,"ClassC","0","0","0","0","0","0","0","2","0","0"
"black",1279,"ClassD","0","0","2","0","1","0","0","1","0","1"
"draw",1262.5,"ClassD","0","1","2","1","2","0","1","3","1","2"
"white",1258,"ClassD","0","0","1","0","1","0","0","3","0","1"
"white",1258.5,"ClassD","1","0","4","0","1","1","1","6","0","2"
"white",1258.5,"ClassD","1","0","5","1","1","1","1","3","1","1"
"white",1189.5,"Novice","1","0","5","0","1","1","1","5","0","2"
"white",1402,"ClassC","0","0","1","0","1","1","0","0","0","1"
"black",1304.5,"ClassD","0","0","2","0","1","0","0","0","0","0"
"white",1306,"ClassD","1","2","6","1","2","0","2","8","1","2"
"white",1363.5,"ClassD","2","1","7","1","2","2","1","7","1","2"
"black",1581,"ClassC","0","1","3","0","1","0","0","1","0","0"
"draw",1531.5,"ClassC","0","0","4","0","2","1","0","5","0","2"
"black",1458,"ClassC","0","1","5","0","2","1","0","6","0","1"
"white",1234,"ClassD","0","1","3","0","0","0","1","4","0","0"
"black",1656,"ClassB","2","0","6","1","2","1","1","5","1","1"
"black",745,"Rookie","1","1","5","1","2","1","0","3","0","0"
"black",617.5,"Rookie","2","1","7","1","2","1","2","6","1","2"
"black",760,"Rookie","1","0","4","0","0","0","0","1","0","0"
"white",811.5,"Rookie","2","2","8","1","2","2","2","7","1","2"
"draw",809.5,"Rookie","1","0","0","0","1","0","0","0","0","0"
"white",734,"Rookie","0","0","1","0","0","0","1","4","0","0"
"black",751.5,"Rookie","1","0","8","1","2","1","0","7","1","1"
"white",786.5,"Rookie","0","0","0","0","0","0","0","3","0","2"
"black",667.5,"Rookie","1","1","3","1","2","0","1","4","1","0"
"black",771,"Rookie","1","0","4","1","0","0","0","2","0","0"
"draw",789,"Rookie","0","0","2","1","1","0","0","0","0","0"
"black",799,"Rookie","0","0","7","1","2","1","1","7","0","2"
"white",785.5,"Rookie","0","2","0","0","0","0","0","1","0","1"
"white",810,"Rookie","1","0","4","0","2","2","0","1","0","1"
"black",770,"Rookie","1","1","4","1","2","1","0","5","0","1"
"draw",769.5,"Rookie","1","0","3","0","0","0","0","3","0","1"
"black",869,"Rookie","0","1","8","1","2","1","1","4","0","0"
"black",901.5,"Novice","2","1","7","1","2","0","1","6","1","2"
"white",1037,"Novice","1","0","5","0","0","0","1","6","0","1"
"black",1200,"ClassD","1","1","7","0","2","2","1","3","0","0"
"white",1235.5,"ClassD","2","0","4","1","2","2","0","6","1","2"
"black",1316.5,"ClassD","1","0","5","1","1","0","0","4","1","1"
"white",1181.5,"Novice","1","2","8","1","2","2","2","6","1","2"
"black",1222,"ClassD","0","1","4","1","1","0","1","6","1","2"
"black",1158,"Novice","2","1","6","1","1","2","1","6","0","1"
"white",1121.5,"Novice","2","1","7","1","2","2","1","7","1","2"
"black",1122.5,"Novice","0","2","5","1","1","1","0","6","1","1"
"white",1123,"Novice","1","0","7","1","2","1","0","5","1","1"
"white",1090,"Novice","0","1","5","0","1","1","1","3","1","1"
"black",1460.5,"ClassC","2","2","5","1","2","2","2","5","1","2"
